customer_id,gender,age,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status
C4071,Male,Senior,Islamabad,27/12/2024,O8071,24/8/2023,Subway,Pizza,Italian,1,465.75,Card,29,26/12/2024,394,Active,4,16/4/2025,Cancelled
C4231,Female,Senior,Multan,11/4/2025,O8231,24/8/2023,Burger King,Sandwich,Continental,3,796.91,Wallet,39,12/11/2024,5,Inactive,5,27/2/2025,Delivered
C3914,Male,Teenager,Islamabad,29/11/2023,O7914,24/8/2023,KFC,Pizza,Fast Food,4,1140.76,Wallet,23,22/4/2025,492,Inactive,5,19/4/2025,Delayed
C5681,Other,Adult,Islamabad,25/11/2024,O9681,25/8/2023,Subway,Pizza,Continental,1,1285.18,Cash,10,9/4/2025,196,Inactive,2,10/6/2025,Delayed
C4975,Female,Teenager,Karachi,20/6/2025,O8975,25/8/2023,Burger King,Burger,Dessert,1,673.86,Wallet,38,7/7/2025,439,Inactive,2,9/7/2025,Delivered
C2876,Female,Senior,Islamabad,30/12/2024,O6876,25/8/2023,KFC,Burger,Chinese,2,330.93,Cash,45,17/7/2025,455,Active,2,28/11/2024,Cancelled
C6144,Other,Teenager,Peshawar,5/8/2024,O10144,25/8/2023,Subway,Pasta,Fast Food,2,991.17,Wallet,6,22/4/2025,101,Active,2,27/3/2025,Cancelled
C5092,Female,Adult,Lahore,5/10/2023,O9092,25/8/2023,Subway,Pasta,Chinese,1,1485.16,Card,46,24/4/2025,171,Inactive,3,5/8/2025,Delayed
C2747,Female,Adult,Lahore,30/8/2024,O6747,25/8/2023,Subway,Sandwich,Italian,2,802.12,Wallet,22,15/9/2024,32,Inactive,4,11/6/2025,Cancelled
C3406,Female,Teenager,Lahore,25/2/2024,O7406,25/8/2023,Pizza Hut,Sandwich,Italian,1,1394.47,Cash,13,16/6/2025,273,Inactive,2,20/7/2025,Delayed
C2975,Male,Teenager,Multan,28/9/2024,O6975,25/8/2023,Pizza Hut,Pizza,Italian,3,1287.69,Wallet,49,5/6/2025,35,Active,4,10/11/2024,Delivered
C5497,Other,Adult,Lahore,26/1/2025,O9497,25/8/2023,Burger King,Pasta,Continental,5,785.37,Card,49,21/10/2024,463,Active,2,19/5/2025,Delivered
C2748,Other,Teenager,Karachi,7/7/2024,O6748,25/8/2023,Pizza Hut,Fries,Dessert,2,1304.8,Cash,2,1/12/2024,435,Inactive,1,29/11/2024,Cancelled
C1929,Female,Teenager,Peshawar,27/11/2023,O5929,26/8/2023,KFC,Fries,Continental,1,599.7,Wallet,35,26/6/2025,172,Active,4,10/11/2024,Delayed
C5124,Male,Adult,Lahore,25/5/2025,O9124,26/8/2023,McDonald's,Burger,Continental,3,1065.15,Cash,38,13/12/2024,250,Inactive,2,18/4/2025,Cancelled
C6250,Male,Teenager,Lahore,29/6/2024,O10250,26/8/2023,McDonald's,Pasta,Chinese,5,576.33,Card,7,3/5/2025,60,Active,3,3/6/2025,Cancelled
C1351,Female,Adult,Karachi,16/6/2024,O5351,26/8/2023,KFC,Fries,Chinese,3,761.47,Card,3,8/1/2025,240,Inactive,2,29/11/2024,Delivered
C5795,Female,Senior,Islamabad,7/11/2023,O9795,26/8/2023,KFC,Pizza,Italian,5,1267.2,Card,32,10/11/2024,72,Active,5,21/10/2024,Delayed
C5513,Male,Teenager,Islamabad,20/7/2025,O9513,26/8/2023,KFC,Pizza,Continental,3,1044.89,Card,31,15/9/2024,496,Inactive,2,27/12/2024,Delayed
C6362,Female,Senior,Islamabad,22/11/2023,O10362,26/8/2023,Burger King,Pizza,Chinese,4,343.52,Card,34,29/9/2024,164,Active,3,25/1/2025,Delivered
C6340,Male,Senior,Multan,7/7/2025,O10340,26/8/2023,Burger King,Sandwich,Continental,2,209.77,Cash,16,20/11/2024,453,Active,3,4/9/2024,Cancelled
C5444,Other,Teenager,Peshawar,2/7/2025,O9444,26/8/2023,Subway,Pasta,Chinese,3,1052.17,Cash,12,21/4/2025,14,Inactive,3,8/2/2025,Delayed
C1454,Female,Adult,Islamabad,1/7/2025,O5454,26/8/2023,McDonald's,Pizza,Italian,2,1030.25,Wallet,5,26/6/2025,273,Active,1,5/2/2025,Cancelled
C4748,Other,Adult,Peshawar,10/3/2024,O8748,26/8/2023,Subway,Sandwich,Italian,5,909.48,Wallet,3,28/7/2025,224,Inactive,3,25/5/2025,Cancelled
C2827,Male,Teenager,Multan,5/3/2025,O6827,26/8/2023,Pizza Hut,Sandwich,Italian,3,192.88,Wallet,26,3/6/2025,18,Active,3,13/1/2025,Cancelled
C3338,Female,Senior,Lahore,4/12/2023,O7338,26/8/2023,McDonald's,Burger,Chinese,2,1471.81,Wallet,25,27/12/2024,444,Active,3,14/6/2025,Delivered
C1614,Other,Adult,Lahore,31/12/2023,O5614,26/8/2023,Subway,Pizza,Italian,1,956.03,Card,39,19/4/2025,167,Inactive,5,4/1/2025,Delivered
C4382,Male,Senior,Multan,20/1/2025,O8382,27/8/2023,Pizza Hut,Pizza,Dessert,3,222.14,Wallet,4,25/3/2025,148,Inactive,2,1/1/2025,Delayed
C1827,Other,Adult,Lahore,24/5/2024,O5827,27/8/2023,Burger King,Pasta,Italian,2,522,Cash,12,30/3/2025,246,Inactive,3,20/9/2024,Delayed
C5009,Male,Teenager,Islamabad,25/3/2024,O9009,27/8/2023,Pizza Hut,Pizza,Italian,3,795.3,Card,15,2/6/2025,179,Inactive,4,13/1/2025,Delayed
C3152,Other,Teenager,Multan,26/2/2024,O7152,27/8/2023,Subway,Burger,Chinese,3,768.49,Wallet,40,23/12/2024,495,Inactive,5,6/1/2025,Delivered
C4729,Female,Teenager,Multan,18/7/2025,O8729,27/8/2023,KFC,Fries,Chinese,2,198.12,Card,7,31/1/2025,13,Inactive,3,27/6/2025,Cancelled
C5046,Other,Teenager,Islamabad,15/8/2024,O9046,27/8/2023,KFC,Fries,Chinese,1,196.28,Card,22,17/8/2025,378,Inactive,4,4/3/2025,Delivered
C3588,Other,Teenager,Lahore,7/1/2024,O7588,27/8/2023,Subway,Burger,Continental,1,364.91,Card,1,6/5/2025,98,Active,5,18/8/2025,Delayed
C3247,Female,Senior,Multan,27/11/2023,O7247,27/8/2023,McDonald's,Sandwich,Italian,5,275.53,Cash,7,6/12/2024,138,Active,2,22/6/2025,Delivered
C2454,Other,Teenager,Karachi,4/12/2023,O6454,27/8/2023,KFC,Pizza,Italian,1,249.9,Cash,20,22/3/2025,70,Inactive,1,20/7/2025,Delayed
C4046,Other,Adult,Karachi,10/11/2024,O8046,27/8/2023,Subway,Sandwich,Continental,4,1226.08,Cash,32,6/2/2025,372,Active,4,18/6/2025,Delivered
C6194,Female,Adult,Lahore,9/10/2023,O10194,28/8/2023,Subway,Fries,Continental,3,1120.65,Card,46,2/12/2024,453,Active,4,19/8/2025,Cancelled
C5845,Other,Senior,Multan,7/11/2024,O9845,28/8/2023,Subway,Sandwich,Fast Food,3,1056.2,Card,26,14/10/2024,116,Active,5,16/2/2025,Cancelled
C6804,Female,Adult,Peshawar,16/1/2025,O10804,28/8/2023,Burger King,Burger,Continental,3,931.02,Wallet,30,10/7/2025,211,Inactive,3,18/3/2025,Delayed
C1490,Other,Senior,Lahore,2/12/2024,O5490,28/8/2023,Pizza Hut,Pizza,Fast Food,2,1431.45,Wallet,15,4/5/2025,190,Inactive,4,8/10/2024,Cancelled
C4203,Male,Adult,Multan,17/4/2024,O8203,28/8/2023,KFC,Pizza,Italian,5,167.62,Card,13,8/9/2024,388,Active,4,7/11/2024,Delivered
C6818,Male,Adult,Islamabad,22/10/2024,O10818,28/8/2023,Subway,Pasta,Chinese,2,118.82,Card,12,10/5/2025,87,Active,1,14/9/2024,Cancelled
C2583,Female,Adult,Karachi,10/8/2024,O6583,29/8/2023,Pizza Hut,Pasta,Fast Food,1,492.46,Cash,10,16/1/2025,383,Active,1,9/9/2024,Delivered
C1891,Male,Teenager,Multan,28/11/2023,O5891,29/8/2023,Pizza Hut,Pasta,Chinese,5,1275.96,Card,28,9/11/2024,312,Inactive,2,29/12/2024,Delivered
C1972,Male,Teenager,Multan,3/6/2024,O5972,29/8/2023,McDonald's,Sandwich,Chinese,1,1462.99,Wallet,36,26/3/2025,316,Inactive,4,30/11/2024,Cancelled
C5895,Female,Adult,Karachi,19/2/2025,O9895,29/8/2023,McDonald's,Pasta,Chinese,2,1221.24,Cash,13,12/2/2025,286,Active,4,15/3/2025,Cancelled
C5179,Male,Adult,Multan,3/9/2023,O9179,29/8/2023,McDonald's,Pasta,Fast Food,1,1033.71,Card,47,30/8/2024,4,Active,2,24/12/2024,Delivered
C3147,Female,Adult,Islamabad,30/10/2024,O7147,30/8/2023,Burger King,Pizza,Continental,4,299.44,Cash,27,6/2/2025,480,Inactive,3,1/12/2024,Delivered
C3256,Other,Senior,Islamabad,6/7/2024,O7256,30/8/2023,Pizza Hut,Pasta,Dessert,3,1310.72,Wallet,41,7/8/2025,47,Active,3,20/11/2024,Cancelled
C3011,Male,Teenager,Islamabad,19/7/2025,O7011,30/8/2023,KFC,Pizza,Italian,4,343.94,Cash,20,27/1/2025,389,Active,3,20/11/2024,Cancelled
C2727,Other,Senior,Karachi,27/11/2024,O6727,30/8/2023,Subway,Pizza,Continental,1,1416.38,Wallet,27,5/11/2024,25,Inactive,3,28/6/2025,Cancelled
C5922,Other,Adult,Islamabad,3/8/2024,O9922,30/8/2023,Pizza Hut,Fries,Dessert,3,622.55,Cash,32,26/8/2024,92,Active,3,15/5/2025,Delayed
C3797,Other,Teenager,Islamabad,8/5/2024,O7797,30/8/2023,Burger King,Burger,Chinese,3,266.63,Wallet,13,14/9/2024,429,Active,2,25/5/2025,Cancelled
C5286,Other,Adult,Peshawar,9/3/2025,O9286,30/8/2023,KFC,Fries,Continental,4,1052.03,Cash,44,16/4/2025,107,Inactive,4,12/3/2025,Delivered
C3379,Other,Adult,Peshawar,19/12/2023,O7379,30/8/2023,McDonald's,Burger,Italian,3,519.94,Card,30,8/10/2024,195,Active,1,8/2/2025,Delivered
C4465,Female,Adult,Islamabad,22/1/2025,O8465,30/8/2023,Burger King,Pizza,Italian,2,1296.57,Card,16,13/12/2024,31,Inactive,3,13/3/2025,Cancelled
C4554,Other,Teenager,Lahore,20/6/2024,O8554,31/8/2023,Subway,Sandwich,Continental,5,575.25,Card,8,15/4/2025,168,Active,1,6/5/2025,Cancelled
C1842,Female,Teenager,Lahore,27/4/2025,O5842,31/8/2023,Pizza Hut,Pasta,Dessert,3,1487.08,Cash,2,17/9/2024,205,Active,5,13/9/2024,Delivered
C1557,Female,Teenager,Peshawar,11/1/2024,O5557,31/8/2023,Burger King,Pizza,Chinese,1,1071.22,Cash,5,15/6/2025,56,Inactive,5,11/10/2024,Delivered
C6668,Other,Senior,Lahore,14/10/2024,O10668,31/8/2023,Pizza Hut,Burger,Fast Food,2,181.27,Cash,12,28/8/2024,364,Inactive,5,20/11/2024,Cancelled
C6686,Female,Senior,Peshawar,11/8/2024,O10686,31/8/2023,KFC,Burger,Fast Food,1,397.47,Wallet,5,12/4/2025,180,Active,1,10/6/2025,Cancelled
C3239,Female,Senior,Lahore,13/9/2023,O7239,31/8/2023,Pizza Hut,Fries,Chinese,5,1475.86,Card,13,13/7/2025,59,Active,4,9/2/2025,Cancelled
C1207,Other,Teenager,Peshawar,23/9/2023,O5207,31/8/2023,McDonald's,Pizza,Italian,4,1143.99,Wallet,26,26/9/2024,323,Inactive,4,24/3/2025,Delivered
C6466,Other,Senior,Islamabad,14/2/2024,O10466,31/8/2023,KFC,Fries,Chinese,1,1492.84,Wallet,50,28/3/2025,423,Active,1,9/2/2025,Cancelled
C6687,Other,Adult,Islamabad,10/6/2025,O10687,1/9/2023,KFC,Pasta,Italian,3,101.29,Wallet,28,17/1/2025,468,Inactive,3,7/2/2025,Delivered
C3210,Other,Teenager,Karachi,5/6/2025,O7210,1/9/2023,Burger King,Pasta,Fast Food,2,528.24,Cash,24,8/2/2025,149,Inactive,4,24/8/2024,Delayed
C2375,Female,Teenager,Peshawar,17/11/2023,O6375,1/9/2023,McDonald's,Burger,Continental,3,716.53,Card,3,20/2/2025,432,Inactive,1,17/9/2024,Cancelled
C3484,Male,Senior,Peshawar,2/8/2025,O7484,1/9/2023,Subway,Pasta,Fast Food,3,1135.18,Cash,2,1/10/2024,113,Active,2,29/11/2024,Cancelled
C3775,Other,Adult,Multan,29/12/2024,O7775,1/9/2023,Burger King,Fries,Chinese,2,388.86,Cash,31,1/9/2024,39,Inactive,3,5/10/2024,Cancelled
C5566,Other,Teenager,Islamabad,25/3/2024,O9566,1/9/2023,Subway,Pasta,Dessert,5,362.35,Cash,23,28/2/2025,309,Active,5,3/1/2025,Delayed
C3733,Male,Adult,Multan,18/12/2024,O7733,1/9/2023,Burger King,Sandwich,Continental,4,172.76,Wallet,23,18/5/2025,356,Inactive,5,25/1/2025,Delivered
C5134,Male,Senior,Lahore,2/5/2025,O9134,2/9/2023,Burger King,Sandwich,Chinese,3,184.12,Card,41,23/2/2025,491,Inactive,4,2/2/2025,Cancelled
C4670,Other,Adult,Peshawar,23/8/2024,O8670,2/9/2023,Pizza Hut,Fries,Italian,3,124.6,Card,26,6/5/2025,297,Inactive,2,28/11/2024,Cancelled
C2760,Other,Teenager,Lahore,26/7/2025,O6760,2/9/2023,McDonald's,Pizza,Dessert,4,664.08,Cash,20,10/4/2025,354,Inactive,3,9/4/2025,Cancelled
C6071,Female,Senior,Peshawar,23/1/2024,O10071,2/9/2023,Pizza Hut,Pizza,Continental,1,1465.02,Card,45,4/7/2025,420,Active,1,20/2/2025,Delivered
C5186,Female,Adult,Peshawar,27/10/2023,O9186,2/9/2023,Subway,Pizza,Continental,2,158.21,Cash,8,27/12/2024,321,Active,3,12/2/2025,Delayed
C3464,Other,Adult,Peshawar,11/6/2024,O7464,2/9/2023,Pizza Hut,Pizza,Continental,2,949.78,Card,46,14/4/2025,435,Active,1,14/8/2025,Cancelled
C5340,Male,Teenager,Peshawar,9/5/2024,O9340,2/9/2023,McDonald's,Pasta,Continental,1,1047.07,Wallet,50,29/1/2025,328,Inactive,2,1/9/2024,Delayed
C5353,Male,Adult,Islamabad,25/5/2025,O9353,2/9/2023,KFC,Pizza,Dessert,2,1491.88,Cash,44,12/3/2025,330,Active,5,7/9/2024,Delayed
C6843,Other,Senior,Multan,10/4/2025,O10843,2/9/2023,KFC,Pizza,Italian,4,1014.28,Card,41,22/7/2025,0,Active,1,23/1/2025,Delivered
C5132,Male,Teenager,Lahore,13/9/2024,O9132,2/9/2023,Subway,Burger,Fast Food,2,941.02,Wallet,5,18/7/2025,468,Active,1,27/2/2025,Delivered
C2398,Other,Senior,Islamabad,29/12/2023,O6398,3/9/2023,Subway,Pasta,Chinese,1,1187.79,Cash,41,5/7/2025,22,Inactive,2,13/12/2024,Cancelled
C5122,Other,Senior,Multan,30/3/2025,O9122,3/9/2023,McDonald's,Pizza,Chinese,3,1201.49,Cash,37,30/4/2025,293,Active,1,30/11/2024,Delayed
C6532,Female,Senior,Islamabad,15/3/2024,O10532,3/9/2023,Pizza Hut,Pizza,Dessert,4,579.72,Wallet,40,14/7/2025,170,Inactive,3,6/2/2025,Delayed
C1833,Other,Adult,Peshawar,6/6/2025,O5833,3/9/2023,KFC,Burger,Chinese,4,599.35,Cash,3,8/4/2025,322,Inactive,2,15/1/2025,Cancelled
C2040,Male,Senior,Peshawar,7/2/2024,O6040,3/9/2023,Burger King,Pasta,Fast Food,4,1418.27,Wallet,14,18/5/2025,291,Inactive,3,10/2/2025,Cancelled
C2631,Female,Adult,Lahore,8/11/2024,O6631,3/9/2023,Subway,Pasta,Continental,2,1174.62,Card,50,11/2/2025,64,Active,5,24/3/2025,Cancelled
C3877,Other,Teenager,Islamabad,22/10/2024,O7877,3/9/2023,KFC,Fries,Continental,4,213.52,Cash,50,22/1/2025,24,Active,3,14/12/2024,Cancelled
C4158,Male,Senior,Islamabad,27/4/2024,O8158,4/9/2023,KFC,Fries,Chinese,3,566.9,Wallet,22,27/3/2025,387,Active,3,22/2/2025,Cancelled
C3705,Other,Teenager,Lahore,15/5/2024,O7705,4/9/2023,Burger King,Pasta,Italian,3,881.71,Wallet,16,25/6/2025,26,Active,2,20/11/2024,Cancelled
C5223,Other,Adult,Multan,1/11/2023,O9223,4/9/2023,Subway,Fries,Chinese,3,1142.45,Wallet,9,8/9/2024,397,Inactive,1,20/3/2025,Delayed
C4259,Male,Teenager,Islamabad,28/12/2024,O8259,4/9/2023,McDonald's,Fries,Continental,3,734.85,Card,48,21/9/2024,245,Active,4,17/10/2024,Delivered
C4636,Female,Teenager,Lahore,27/1/2024,O8636,4/9/2023,Subway,Pasta,Fast Food,4,1303.08,Wallet,19,9/7/2025,62,Active,1,8/4/2025,Delayed
C3087,Female,Adult,Peshawar,5/5/2025,O7087,4/9/2023,Subway,Pizza,Italian,2,526.39,Wallet,7,22/6/2025,83,Inactive,1,4/4/2025,Delayed
C6268,Male,Teenager,Islamabad,11/2/2024,O10268,4/9/2023,Pizza Hut,Sandwich,Fast Food,3,897.81,Cash,15,14/8/2025,193,Active,5,19/6/2025,Cancelled
C1434,Other,Senior,Multan,16/3/2024,O5434,5/9/2023,Subway,Burger,Chinese,4,949.24,Card,21,15/6/2025,264,Active,2,21/11/2024,Cancelled
C3992,Male,Teenager,Lahore,21/7/2024,O7992,5/9/2023,Subway,Fries,Italian,5,904.16,Card,10,20/2/2025,118,Inactive,4,3/2/2025,Delayed
C4725,Other,Senior,Islamabad,10/12/2023,O8725,5/9/2023,Subway,Pizza,Continental,4,321.23,Wallet,32,17/3/2025,145,Inactive,2,6/6/2025,Delivered
C3703,Other,Teenager,Multan,30/10/2024,O7703,5/9/2023,McDonald's,Fries,Fast Food,4,1071.49,Card,39,4/6/2025,1,Active,2,15/2/2025,Delayed
C1727,Male,Adult,Multan,26/8/2023,O5727,5/9/2023,Burger King,Fries,Dessert,3,465.28,Wallet,4,6/6/2025,71,Active,4,15/6/2025,Delivered
C2154,Male,Teenager,Peshawar,13/11/2024,O6154,5/9/2023,Pizza Hut,Pizza,Continental,3,141.58,Wallet,30,5/9/2024,363,Active,2,27/4/2025,Delivered
C6419,Female,Senior,Peshawar,12/4/2025,O10419,5/9/2023,Pizza Hut,Pizza,Continental,5,699.7,Cash,20,16/9/2024,183,Active,3,24/7/2025,Delivered
C6318,Male,Teenager,Islamabad,17/1/2025,O10318,6/9/2023,McDonald's,Sandwich,Continental,3,1428.01,Cash,50,10/10/2024,185,Active,4,21/5/2025,Cancelled
C5633,Other,Adult,Lahore,20/5/2025,O9633,6/9/2023,KFC,Fries,Italian,5,218.68,Wallet,26,7/12/2024,249,Active,4,10/3/2025,Delivered
C5834,Other,Adult,Multan,6/10/2023,O9834,6/9/2023,Pizza Hut,Burger,Dessert,4,395.88,Card,37,11/11/2024,113,Inactive,3,16/4/2025,Delayed
C1356,Female,Teenager,Islamabad,13/10/2024,O5356,6/9/2023,Burger King,Sandwich,Dessert,2,235.82,Wallet,28,16/8/2025,452,Inactive,1,25/8/2024,Delayed
C6282,Female,Senior,Lahore,18/3/2024,O10282,6/9/2023,KFC,Sandwich,Italian,5,626.86,Card,47,28/3/2025,117,Inactive,4,21/3/2025,Delayed
C3241,Other,Adult,Peshawar,10/8/2025,O7241,6/9/2023,McDonald's,Fries,Dessert,3,667.31,Cash,22,29/12/2024,375,Active,3,15/9/2024,Delivered
C4303,Male,Adult,Multan,18/12/2024,O8303,6/9/2023,KFC,Sandwich,Dessert,2,893.55,Cash,17,21/10/2024,497,Inactive,3,20/11/2024,Delayed
C6640,Female,Adult,Karachi,31/1/2025,O10640,6/9/2023,Subway,Pasta,Italian,1,368.03,Cash,25,19/12/2024,83,Inactive,4,21/12/2024,Delayed
C1410,Male,Teenager,Karachi,6/4/2025,O5410,7/9/2023,KFC,Fries,Fast Food,1,708.22,Cash,39,19/1/2025,441,Active,5,12/9/2024,Delayed
C2514,Male,Teenager,Multan,10/8/2024,O6514,7/9/2023,Burger King,Burger,Fast Food,3,892.81,Cash,25,2/7/2025,335,Inactive,4,20/2/2025,Cancelled
C5399,Other,Teenager,Lahore,12/4/2024,O9399,7/9/2023,Burger King,Burger,Continental,4,1043.78,Card,6,15/4/2025,114,Active,2,5/6/2025,Delayed
C5621,Other,Senior,Islamabad,28/5/2025,O9621,7/9/2023,Burger King,Fries,Italian,5,162.05,Wallet,27,24/1/2025,271,Inactive,2,9/6/2025,Cancelled
C2832,Other,Teenager,Peshawar,3/7/2024,O6832,7/9/2023,McDonald's,Pasta,Italian,4,792.08,Card,19,21/9/2024,296,Inactive,4,13/9/2024,Delivered
C6876,Female,Teenager,Islamabad,6/2/2025,O10876,7/9/2023,KFC,Pasta,Dessert,5,1356.66,Card,30,13/11/2024,470,Inactive,4,7/11/2024,Cancelled
C1577,Male,Senior,Karachi,19/8/2024,O5577,7/9/2023,KFC,Pizza,Italian,1,820.53,Card,18,24/5/2025,402,Inactive,1,21/8/2025,Delivered
C5668,Female,Adult,Multan,27/6/2025,O9668,7/9/2023,KFC,Burger,Fast Food,2,1115.36,Card,9,20/10/2024,294,Active,2,30/4/2025,Delayed
C1370,Male,Senior,Lahore,27/4/2025,O5370,7/9/2023,KFC,Pasta,Chinese,3,1186.98,Card,11,12/4/2025,134,Inactive,2,8/7/2025,Cancelled
C5722,Male,Teenager,Multan,26/6/2025,O9722,7/9/2023,Burger King,Fries,Continental,2,1215.67,Wallet,8,29/6/2025,186,Inactive,4,27/12/2024,Delivered
C6273,Male,Teenager,Peshawar,17/5/2025,O10273,7/9/2023,Burger King,Pizza,Chinese,2,614,Card,21,5/3/2025,52,Active,3,5/11/2024,Cancelled
C3949,Male,Adult,Peshawar,18/10/2024,O7949,8/9/2023,Burger King,Sandwich,Chinese,2,212.59,Cash,26,26/6/2025,302,Active,1,20/9/2024,Delivered
C1847,Male,Senior,Lahore,1/3/2024,O5847,8/9/2023,Subway,Fries,Continental,3,1097.28,Card,20,22/9/2024,22,Active,5,30/11/2024,Delayed
C6999,Female,Adult,Multan,16/5/2024,O10999,8/9/2023,Subway,Sandwich,Continental,2,1033.59,Card,1,16/1/2025,255,Active,1,6/10/2024,Delayed
C3717,Female,Senior,Islamabad,1/7/2024,O7717,9/9/2023,Burger King,Burger,Fast Food,4,466.04,Cash,27,25/9/2024,169,Inactive,1,10/4/2025,Cancelled
C6796,Other,Teenager,Lahore,27/2/2024,O10796,9/9/2023,KFC,Burger,Chinese,2,724.91,Cash,18,4/12/2024,438,Inactive,4,23/3/2025,Cancelled
C1799,Male,Adult,Multan,22/2/2025,O5799,9/9/2023,Burger King,Burger,Fast Food,3,1128.96,Card,12,17/8/2025,487,Active,3,13/5/2025,Cancelled
C3815,Male,Teenager,Karachi,7/4/2025,O7815,9/9/2023,Pizza Hut,Fries,Italian,5,122.84,Cash,43,24/5/2025,104,Active,5,29/3/2025,Delivered
C5637,Male,Senior,Lahore,29/11/2023,O9637,9/9/2023,Subway,Fries,Continental,3,440,Wallet,11,23/12/2024,497,Active,3,13/1/2025,Delivered
C2045,Male,Adult,Karachi,22/6/2024,O6045,9/9/2023,Burger King,Sandwich,Chinese,2,1207.62,Wallet,46,22/2/2025,91,Active,2,13/3/2025,Delivered
C4628,Female,Adult,Peshawar,20/3/2025,O8628,9/9/2023,McDonald's,Pizza,Continental,3,1147.65,Wallet,45,15/4/2025,353,Active,4,12/12/2024,Delivered
C4407,Other,Adult,Peshawar,31/8/2023,O8407,9/9/2023,Pizza Hut,Sandwich,Continental,5,1203.99,Wallet,1,17/4/2025,106,Inactive,4,2/7/2025,Delayed
C5061,Female,Teenager,Karachi,30/6/2024,O9061,9/9/2023,McDonald's,Burger,Chinese,2,1417.09,Card,46,1/1/2025,355,Active,3,5/3/2025,Cancelled
C4423,Male,Teenager,Karachi,21/6/2024,O8423,9/9/2023,Pizza Hut,Fries,Italian,5,1010.15,Cash,25,8/3/2025,461,Active,3,16/7/2025,Cancelled
C2522,Other,Teenager,Peshawar,25/3/2025,O6522,10/9/2023,KFC,Sandwich,Italian,4,589.82,Cash,28,11/12/2024,162,Inactive,2,7/8/2025,Delivered
C2161,Female,Senior,Karachi,20/1/2025,O6161,10/9/2023,KFC,Pizza,Fast Food,1,394.08,Card,1,6/2/2025,169,Inactive,4,14/12/2024,Delayed
C2167,Male,Senior,Multan,30/1/2025,O6167,10/9/2023,McDonald's,Sandwich,Italian,4,1460.35,Card,9,19/4/2025,315,Active,5,25/1/2025,Cancelled
C5088,Other,Senior,Lahore,25/9/2023,O9088,10/9/2023,Subway,Pasta,Fast Food,5,1397.42,Card,18,27/8/2024,36,Active,2,11/3/2025,Cancelled
C3941,Other,Adult,Lahore,3/10/2023,O7941,10/9/2023,Burger King,Sandwich,Italian,3,257.86,Wallet,47,25/1/2025,327,Inactive,5,27/7/2025,Cancelled
C2536,Female,Adult,Karachi,26/12/2023,O6536,10/9/2023,McDonald's,Burger,Fast Food,3,882.75,Wallet,16,28/1/2025,13,Active,4,8/10/2024,Delayed
C3321,Male,Teenager,Multan,10/5/2024,O7321,10/9/2023,Burger King,Pasta,Dessert,5,689.01,Card,3,8/3/2025,189,Inactive,3,20/12/2024,Cancelled
C1075,Male,Adult,Lahore,24/9/2023,O5075,10/9/2023,Subway,Pasta,Continental,2,1452.79,Cash,30,6/10/2024,382,Active,4,12/4/2025,Cancelled
